MAIN_MARK,BRCH,PLTZ_ITEM_NO,PKG_CD,ITEM_DESCRIPTION,QTY,QTY_UNIT,TAG_QTY,ITEM_TYP,NET_WEIGHT,ITEM_WEIGHT,WEIGHT_UNIT,SHIPPING_LOT,PKG_TYP,MODEL_CD,EXP_LIMIT_TYP,DNGR_ITEM_FLG,ORIGIN_CNTRY_CD,CURR_CD,PLNT_CD,RT_FLG,KIT_FLG,EXP_REQUEST_NO,LINE_NO,KIT_BRCH,MIX_TAG_NO,PLTZ_INSTR_NO,PAR_FLG,KIT_PAR_ITEM_NO,CUSTOMER_PO_NO,CUSTOMER_ITEM_NO,UNIT_PRICE,HS_CD,INPUT_METH_TYP,COM_UPDATE_FUNC_ID,COM_UPDATE_USER_ID,COM_UPDATE_TIMESTAMP,COM_CREATE_FUNC_ID,COM_CREATE_USER_ID,COM_CREATE_TIMESTAMP
DMY7WH01405980005,0,PKGITEMENO-001, ,Cardboard,1,9,,3,1,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980006,0,PKGITEMENO-001, ,Cardboard,1,9,,3,1,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980007,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980008,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980009,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980010,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980011,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980012,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980013,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980014,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980015,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980016,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980017,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980018,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980019,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980020,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980021,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980022,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980023,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980024,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980025,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980026,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980027,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980028,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980029,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980030,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980031,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980032,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980033,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980034,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980035,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980036,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980037,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980038,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980039,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980040,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980041,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980042,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980043,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980044,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980045,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980046,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980047,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980048,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980049,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
DMY7WH01405980050,0,PKGITEMENO-001, ,Cardboard,1,9,,3,3,1,KG,,4,1,,N,1,002,M1,1,N,,,,,,Y,PKGITEMENO-001,,,,,,WC001,nexus,14-05-08 19:55:20.000000000,WC001,nexus,14-05-08 19:55:20.000000000
